timestamp,eventtext,operator
2015-05-31 15:24:12.427580,3,K
2015-05-31 15:24:12.898192,ENT,K
2015-05-31 15:24:13.753230,3,K
2015-05-31 15:24:14.133928,,K
2015-05-31 15:24:14.342649,*,K
2015-05-31 15:24:14.592284,,K
2015-05-31 15:24:15.678005,+,K
2015-05-31 15:24:16.879088,4,K
2015-05-31 15:24:17.313943,ENT,K
2015-05-31 15:24:18.309397,4,K
2015-05-31 15:24:18.614533,,K
2015-05-31 15:24:18.745072,*,K
2015-05-31 15:24:18.969008,,K
2015-05-31 15:24:20.141369,+,K
2015-05-31 15:24:21.184394,s,K
2015-05-31 15:24:21.422158,q,K
2015-05-31 15:24:21.678167,r,K
2015-05-31 15:24:21.871694,t,K
