timestamp,eventtext,operator
2015-05-31 15:26:01.000705,3,K
2015-05-31 15:26:01.363000,ENT,K
2015-05-31 15:26:01.881875,3,K
2015-05-31 15:26:02.161556,,K
2015-05-31 15:26:02.291421,*,K
2015-05-31 15:26:03.742292,+,K
2015-05-31 15:26:04.193408,4,K
2015-05-31 15:26:05.453368,ENT,K
2015-05-31 15:26:06.024422,4,K
2015-05-31 15:26:06.379794,,K
2015-05-31 15:26:06.519530,*,K
2015-05-31 15:26:07.870916,+,K
2015-05-31 15:26:08.842329,s,K
2015-05-31 15:26:09.185502,q,K
2015-05-31 15:26:09.452025,r,K
2015-05-31 15:26:09.662675,t,K
