timestamp,eventtext,operator
2015-05-31 14:27:32.187504,3,K
2015-05-31 14:27:32.652818,ENT,K
2015-05-31 14:27:33.052950,3,K
2015-05-31 14:27:33.822885,,K
2015-05-31 14:27:33.912547,*,K
2015-05-31 14:27:34.963753,+,K
2015-05-31 14:27:35.498875,4,K
2015-05-31 14:27:35.849042,ENT,K
2015-05-31 14:27:36.309412,4,K
2015-05-31 14:27:36.709625,,K
2015-05-31 14:27:36.849360,*,K
2015-05-31 14:27:39.415807,+,K
2015-05-31 14:27:39.660868,s,K
2015-05-31 14:27:39.970691,q,K
2015-05-31 14:27:40.386120,r,K
2015-05-31 14:27:40.435469,t,K
