timestamp,eventtext,operator
2015-05-31 15:25:31.334350,3,K
2015-05-31 15:25:31.733769,ENT,K
2015-05-31 15:25:33.467852,3,K
2015-05-31 15:25:33.857503,,K
2015-05-31 15:25:34.040869,*,K
2015-05-31 15:25:35.539068,+,K
2015-05-31 15:25:36.179581,4,K
2015-05-31 15:25:36.718610,ENT,K
2015-05-31 15:25:38.036470,4,K
2015-05-31 15:25:38.380687,,K
2015-05-31 15:25:38.540109,*,K
2015-05-31 15:25:41.284368,+,K
2015-05-31 15:25:42.326678,s,K
2015-05-31 15:25:42.552128,q,K
2015-05-31 15:25:43.738043,r,K
2015-05-31 15:25:43.916180,t,K
