timestamp,eventtext,operator
2015-05-31 14:04:42.422023,3,C
2015-05-31 14:04:42.822933,ENT,C
2015-05-31 14:04:43.406991,3,C
2015-05-31 14:04:43.998910,*,C
2015-05-31 14:04:44.559629,+,C
2015-05-31 14:04:45.342940,4,C
2015-05-31 14:04:46.127508,ENT,C
2015-05-31 14:04:46.976475,4,C
2015-05-31 14:04:47.759140,*,C
2015-05-31 14:04:48.303548,+,C
2015-05-31 14:04:49.160293,sqRT,C
