timestamp,eventtext,operator
2015-05-31 15:20:10.928311,3,C
2015-05-31 15:20:11.747298,ENT,C
2015-05-31 15:20:12.579346,3,C
2015-05-31 15:20:14.048518,*,C
2015-05-31 15:20:16.788300,+,C
2015-05-31 15:20:18.126410,4,C
2015-05-31 15:20:18.913148,ENT,C
2015-05-31 15:20:19.961159,4,C
2015-05-31 15:20:20.874207,*,C
2015-05-31 15:20:23.477312,+,C
2015-05-31 15:20:25.413748,sqRT,C
