timestamp,eventtext,operator
2015-05-31 13:11:56.621264,1,C
2015-05-31 13:11:57.197838,+,C
2015-05-31 13:11:57.613291,2,C
2015-05-31 13:11:58.093241,+,C
2015-05-31 13:11:58.469238,3,C
2015-05-31 13:11:58.829851,+,C
2015-05-31 13:11:59.365442,4,C
2015-05-31 13:11:59.781518,+,C
2015-05-31 13:12:00.341645,5,C
2015-05-31 13:12:00.789208,+,C
2015-05-31 13:12:01.109707,6,C
2015-05-31 13:12:01.405242,+,C
2015-05-31 13:12:01.901244,7,C
2015-05-31 13:12:02.389774,+,C
2015-05-31 13:12:02.830767,8,C
2015-05-31 13:12:03.358212,+,C
2015-05-31 13:12:03.726210,9,C
2015-05-31 13:12:04.101665,+,C
2015-05-31 13:12:04.862133,1,C
2015-05-31 13:12:05.262858,0,C
2015-05-31 13:12:05.750586,+,C
2015-05-31 13:12:06.351003,1,C
2015-05-31 13:12:07.038797,1,C
2015-05-31 13:12:07.550656,+,C
2015-05-31 13:12:08.134151,1,C
2015-05-31 13:12:08.951897,2,C
2015-05-31 13:12:09.615739,+,C
2015-05-31 13:12:10.046814,1,C
2015-05-31 13:12:10.582769,3,C
2015-05-31 13:12:11.014788,+,C
2015-05-31 13:12:12.175900,1,C
2015-05-31 13:12:12.511993,4,C
2015-05-31 13:12:13.111911,+,C
2015-05-31 13:12:13.695599,1,C
2015-05-31 13:12:14.039676,5,C
2015-05-31 13:12:14.503888,+,C
2015-05-31 13:12:15.111659,1,C
2015-05-31 13:12:15.727609,6,C
2015-05-31 13:12:16.111913,+,C
2015-05-31 13:12:16.752814,1,C
2015-05-31 13:12:17.223805,7,C
2015-05-31 13:12:17.704393,+,C
2015-05-31 13:12:18.231226,1,C
2015-05-31 13:12:18.688189,8,C
2015-05-31 13:12:19.103895,+,C
2015-05-31 13:12:19.792896,1,C
2015-05-31 13:12:20.288715,9,C
2015-05-31 13:12:20.696674,+,C
2015-05-31 13:12:21.296700,2,C
2015-05-31 13:12:21.664238,0,C
2015-05-31 13:12:22.128906,ENT,C
