timestamp,eventtext,operator
2015-05-31 13:10:38.234926,1,C
2015-05-31 13:10:38.866625,+,C
2015-05-31 13:10:39.410353,2,C
2015-05-31 13:10:39.858838,+,C
2015-05-31 13:10:40.402672,3,C
2015-05-31 13:10:40.690748,+,C
2015-05-31 13:10:41.290737,4,C
2015-05-31 13:10:41.770652,+,C
2015-05-31 13:10:42.235617,5,C
2015-05-31 13:10:42.738804,+,C
2015-05-31 13:10:43.122174,6,C
2015-05-31 13:10:43.434894,+,C
2015-05-31 13:10:44.266497,7,C
2015-05-31 13:10:44.819905,+,C
2015-05-31 13:10:45.251783,8,C
2015-05-31 13:10:45.683110,+,C
2015-05-31 13:10:46.059455,9,C
2015-05-31 13:10:46.500182,+,C
2015-05-31 13:10:47.307874,1,C
2015-05-31 13:10:47.627895,0,C
2015-05-31 13:10:48.371662,+,C
2015-05-31 13:10:49.003718,1,C
2015-05-31 13:10:49.155775,1,C
2015-05-31 13:10:49.715653,+,C
2015-05-31 13:10:50.323648,1,C
2015-05-31 13:10:50.660626,2,C
2015-05-31 13:10:51.195144,+,C
2015-05-31 13:10:51.660045,1,C
2015-05-31 13:10:52.107547,3,C
2015-05-31 13:10:52.476156,+,C
2015-05-31 13:10:53.037100,1,C
2015-05-31 13:10:53.340820,4,C
2015-05-31 13:10:53.940612,+,C
2015-05-31 13:10:54.476109,1,C
2015-05-31 13:10:54.828674,5,C
2015-05-31 13:10:55.212481,+,C
2015-05-31 13:10:55.908800,1,C
2015-05-31 13:10:56.428501,6,C
2015-05-31 13:10:56.805007,+,C
2015-05-31 13:10:57.476565,1,C
2015-05-31 13:10:57.908129,7,C
2015-05-31 13:10:58.349582,+,C
2015-05-31 13:10:58.821088,1,C
2015-05-31 13:10:59.468047,8,C
2015-05-31 13:10:59.925451,+,C
2015-05-31 13:11:00.452754,1,C
2015-05-31 13:11:00.965125,9,C
2015-05-31 13:11:01.517553,+,C
2015-05-31 13:11:02.429692,2,C
2015-05-31 13:11:02.781429,0,C
2015-05-31 13:11:03.253838,ENT,C
