timestamp,eventtext,operator
2015-05-31 13:12:43.131244,1,C
2015-05-31 13:12:43.659977,+,C
2015-05-31 13:12:44.139838,2,C
2015-05-31 13:12:44.723201,+,C
2015-05-31 13:12:45.123891,3,C
2015-05-31 13:12:45.563827,+,C
2015-05-31 13:12:46.140887,4,C
2015-05-31 13:12:46.627299,+,C
2015-05-31 13:12:47.203759,5,C
2015-05-31 13:12:47.931178,+,C
2015-05-31 13:12:48.340716,6,C
2015-05-31 13:12:48.772573,+,C
2015-05-31 13:12:49.325045,7,C
2015-05-31 13:12:49.948179,+,C
2015-05-31 13:12:50.452282,8,C
2015-05-31 13:12:50.965034,+,C
2015-05-31 13:12:51.437065,9,C
2015-05-31 13:12:51.892818,+,C
2015-05-31 13:12:52.517035,1,C
2015-05-31 13:12:52.892819,0,C
2015-05-31 13:12:53.525704,+,C
2015-05-31 13:12:54.140592,1,C
2015-05-31 13:12:54.300815,1,C
2015-05-31 13:12:54.837236,+,C
2015-05-31 13:12:55.357999,1,C
2015-05-31 13:12:55.660883,2,C
2015-05-31 13:12:56.213641,+,C
2015-05-31 13:12:57.141868,1,C
2015-05-31 13:12:57.558146,3,C
2015-05-31 13:12:57.926068,+,C
2015-05-31 13:12:58.605215,1,C
2015-05-31 13:12:58.941446,4,C
2015-05-31 13:12:59.557779,+,C
2015-05-31 13:13:00.134284,1,C
2015-05-31 13:13:00.493849,5,C
2015-05-31 13:13:00.934808,+,C
2015-05-31 13:13:01.573622,1,C
2015-05-31 13:13:02.174983,6,C
2015-05-31 13:13:02.638719,+,C
2015-05-31 13:13:03.254240,1,C
2015-05-31 13:13:03.766707,7,C
2015-05-31 13:13:04.327045,+,C
2015-05-31 13:13:04.950510,1,C
2015-05-31 13:13:05.446845,8,C
2015-05-31 13:13:05.886944,+,C
2015-05-31 13:13:06.550830,1,C
2015-05-31 13:13:07.287900,9,C
2015-05-31 13:13:07.663833,+,C
2015-05-31 13:13:08.438996,2,C
2015-05-31 13:13:08.775762,0,C
2015-05-31 13:13:09.271008,ENT,C
