timestamp,eventtext,operator
2015-05-31 14:27:48.970751,3,K
2015-05-31 14:27:49.134543,ENT,K
2015-05-31 14:27:49.279672,3,K
2015-05-31 14:27:49.625106,,K
2015-05-31 14:27:49.754885,*,K
2015-05-31 14:27:50.560209,+,K
2015-05-31 14:27:50.931206,4,K
2015-05-31 14:27:51.191309,ENT,K
2015-05-31 14:27:51.667353,4,K
2015-05-31 14:27:52.081590,,K
2015-05-31 14:27:52.156451,*,K
2015-05-31 14:27:52.746820,+,K
2015-05-31 14:27:53.692263,s,K
2015-05-31 14:27:53.952256,q,K
2015-05-31 14:27:54.352619,r,K
2015-05-31 14:27:54.398883,t,K
