timestamp,eventtext,operator
2015-05-31 15:05:00.914061,1,C
2015-05-31 15:05:01.592925,+,C
2015-05-31 15:05:02.278549,2,C
2015-05-31 15:05:02.779932,+,C
2015-05-31 15:05:03.438698,3,C
2015-05-31 15:05:03.815818,+,C
2015-05-31 15:05:04.751988,4,C
2015-05-31 15:05:05.297760,+,C
2015-05-31 15:05:06.017715,5,C
2015-05-31 15:05:06.595783,+,C
2015-05-31 15:05:07.131977,6,C
2015-05-31 15:05:07.574785,+,C
2015-05-31 15:05:08.323647,7,C
2015-05-31 15:05:08.960926,+,C
2015-05-31 15:05:09.592898,8,C
2015-05-31 15:05:10.153461,+,C
2015-05-31 15:05:10.721582,9,C
2015-05-31 15:05:11.338808,+,C
2015-05-31 15:05:12.435664,1,C
2015-05-31 15:05:13.452921,0,C
2015-05-31 15:05:14.117979,+,C
2015-05-31 15:05:14.948935,1,C
2015-05-31 15:05:15.118162,1,C
2015-05-31 15:05:15.865729,+,C
2015-05-31 15:05:16.595768,1,C
2015-05-31 15:05:16.999819,2,C
2015-05-31 15:05:17.640998,+,C
2015-05-31 15:05:18.470963,1,C
2015-05-31 15:05:18.926713,3,C
2015-05-31 15:05:19.369027,+,C
2015-05-31 15:05:20.070772,1,C
2015-05-31 15:05:20.673989,4,C
2015-05-31 15:05:21.357947,+,C
2015-05-31 15:05:22.315825,1,C
2015-05-31 15:05:22.925117,5,C
2015-05-31 15:05:23.586115,+,C
2015-05-31 15:05:24.468805,1,C
2015-05-31 15:05:25.190905,6,C
2015-05-31 15:05:25.636447,+,C
2015-05-31 15:05:26.397041,1,C
2015-05-31 15:05:27.076666,7,C
2015-05-31 15:05:27.624954,+,C
2015-05-31 15:05:28.582940,1,C
2015-05-31 15:05:29.286475,8,C
2015-05-31 15:05:29.991856,+,C
2015-05-31 15:05:30.753047,1,C
2015-05-31 15:05:31.526103,9,C
2015-05-31 15:05:32.242048,+,C
2015-05-31 15:05:33.114825,2,C
2015-05-31 15:05:33.566088,0,C
2015-05-31 15:05:34.838148,+,C
