timestamp,eventtext,operator
2015-05-30 13:52:59.661956,1,C
2015-05-30 13:53:00.171172,1,K
2015-05-30 13:53:00.542964,1,C
2015-05-30 13:53:00.785857,1,K
2015-05-30 13:53:01.231550,1,C
2015-05-30 13:53:01.466527,1,K
2015-05-30 13:53:01.903253,1,C
2015-05-30 13:53:02.091643,1,K
2015-05-30 13:53:02.519494,1,C
2015-05-30 13:53:02.691493,1,K
2015-05-30 13:53:03.071438,1,C
2015-05-30 13:53:03.261562,1,K
2015-05-30 13:53:03.623353,1,C
2015-05-30 13:53:03.821467,1,K
2015-05-30 13:53:04.167139,1,C
2015-05-30 13:53:04.361601,1,K
2015-05-30 13:53:04.735428,1,C
2015-05-30 13:53:04.946976,1,K
2015-05-30 13:53:05.295252,1,C
2015-05-30 13:53:05.456627,1,K
