timestamp,eventtext,operator
2015-05-29 13:21:54.558057,1,C
2015-05-29 13:21:55.057630,1,C
2015-05-29 13:21:55.252726,1,C
2015-05-29 13:21:55.441340,1,C
2015-05-29 13:21:55.632953,1,C
2015-05-29 13:21:55.826534,1,C
2015-05-29 13:21:55.997401,1,C
2015-05-29 13:21:56.181763,1,C
2015-05-29 13:21:56.399461,1,C
2015-05-29 13:21:56.562748,1,C
2015-05-29 13:21:56.778486,1,C
2015-05-29 13:21:56.946994,1,C
2015-05-29 13:21:57.128030,1,C
2015-05-29 13:21:57.516171,1,C
2015-05-29 13:21:57.703820,1,C
2015-05-29 13:21:57.878840,1,C
2015-05-29 13:21:58.052362,1,C
2015-05-29 13:21:58.214217,1,C
2015-05-29 13:21:58.387997,1,C
2015-05-29 13:21:58.574201,1,C
