timestamp,eventtext,operator
2015-05-31 15:10:36.479106,1,K
2015-05-31 15:10:36.766638,+,K
2015-05-31 15:10:37.090653,2,K
2015-05-31 15:10:37.392199,+,K
2015-05-31 15:10:37.747001,3,K
2015-05-31 15:10:38.053946,+,K
2015-05-31 15:10:38.387189,4,K
2015-05-31 15:10:38.716224,+,K
2015-05-31 15:10:39.038581,5,K
2015-05-31 15:10:39.453672,+,K
2015-05-31 15:10:39.819027,6,K
2015-05-31 15:10:40.128392,+,K
2015-05-31 15:10:40.515637,7,K
2015-05-31 15:10:40.876672,+,K
2015-05-31 15:10:41.284505,8,K
2015-05-31 15:10:41.605714,+,K
2015-05-31 15:10:42.002553,9,K
2015-05-31 15:10:42.321821,+,K
2015-05-31 15:10:43.085156,1,K
2015-05-31 15:10:43.342049,0,K
2015-05-31 15:10:44.568050,+,K
2015-05-31 15:10:45.312739,1,K
2015-05-31 15:10:45.508143,1,K
2015-05-31 15:10:45.961335,+,K
2015-05-31 15:10:46.508171,1,K
2015-05-31 15:10:46.722605,2,K
2015-05-31 15:10:47.065029,+,K
2015-05-31 15:10:47.532383,1,K
2015-05-31 15:10:47.809902,3,K
2015-05-31 15:10:48.152832,+,K
2015-05-31 15:10:48.562639,1,K
2015-05-31 15:10:49.074249,4,K
2015-05-31 15:10:49.429788,+,K
2015-05-31 15:10:49.785047,1,K
2015-05-31 15:10:50.195143,5,K
2015-05-31 15:10:50.509177,+,K
2015-05-31 15:10:50.947149,1,K
2015-05-31 15:10:51.385474,6,K
2015-05-31 15:10:51.766055,+,K
2015-05-31 15:10:52.186027,1,K
2015-05-31 15:10:52.598877,7,K
2015-05-31 15:10:52.966509,+,K
2015-05-31 15:10:53.428533,1,K
2015-05-31 15:10:53.925127,8,K
2015-05-31 15:10:54.261366,+,K
2015-05-31 15:10:54.716873,1,K
2015-05-31 15:10:55.189123,9,K
2015-05-31 15:10:55.507352,+,K
2015-05-31 15:10:55.902136,2,K
2015-05-31 15:10:56.355250,0,K
2015-05-31 15:10:56.698621,+,K
