timestamp,eventtext,operator
2015-05-31 13:17:07.972117,1,K
2015-05-31 13:17:08.146179,+,K
2015-05-31 13:17:08.346629,2,K
2015-05-31 13:17:08.536691,+,K
2015-05-31 13:17:08.734079,3,K
2015-05-31 13:17:08.933973,+,K
2015-05-31 13:17:09.121433,4,K
2015-05-31 13:17:09.331047,+,K
2015-05-31 13:17:09.521193,5,K
2015-05-31 13:17:09.711099,+,K
2015-05-31 13:17:09.886142,6,K
2015-05-31 13:17:10.096140,+,K
2015-05-31 13:17:10.261909,7,K
2015-05-31 13:17:10.449288,+,K
2015-05-31 13:17:10.654535,8,K
2015-05-31 13:17:10.842000,+,K
2015-05-31 13:17:11.047068,9,K
2015-05-31 13:17:11.306757,+,K
2015-05-31 13:17:11.846357,1,K
2015-05-31 13:17:12.046372,0,K
2015-05-31 13:17:12.381948,+,K
2015-05-31 13:17:12.631744,1,K
2015-05-31 13:17:12.799042,1,K
2015-05-31 13:17:13.086476,+,K
2015-05-31 13:17:13.272054,1,K
2015-05-31 13:17:13.446509,2,K
2015-05-31 13:17:13.756587,+,K
2015-05-31 13:17:13.937279,1,K
2015-05-31 13:17:14.122083,3,K
2015-05-31 13:17:14.437428,+,K
2015-05-31 13:17:14.607452,1,K
2015-05-31 13:17:14.823038,4,K
2015-05-31 13:17:15.131770,+,K
2015-05-31 13:17:15.281788,1,K
2015-05-31 13:17:15.497357,5,K
2015-05-31 13:17:15.862420,+,K
2015-05-31 13:17:16.001940,1,K
2015-05-31 13:17:16.332343,6,K
2015-05-31 13:17:16.662393,+,K
2015-05-31 13:17:16.832421,1,K
2015-05-31 13:17:17.207632,7,K
2015-05-31 13:17:17.402361,+,K
2015-05-31 13:17:17.751968,1,K
2015-05-31 13:17:18.192589,8,K
2015-05-31 13:17:18.532245,+,K
2015-05-31 13:17:18.727557,1,K
2015-05-31 13:17:19.327947,9,K
2015-05-31 13:17:19.602534,+,K
2015-05-31 13:17:20.097664,2,K
2015-05-31 13:17:20.212325,0,K
2015-05-31 13:17:20.732902,,K
