timestamp,eventtext,operator
2015-05-31 18:14:25.221406,1,K
2015-05-31 18:14:25.436336,+,K
2015-05-31 18:14:25.635956,2,K
2015-05-31 18:14:25.839679,+,K
2015-05-31 18:14:26.137510,3,K
2015-05-31 18:14:26.429554,+,K
2015-05-31 18:14:26.654194,4,K
2015-05-31 18:14:26.888708,+,K
2015-05-31 18:14:27.129133,5,K
2015-05-31 18:14:27.344991,+,K
2015-05-31 18:14:27.557517,6,K
2015-05-31 18:14:27.830220,+,K
2015-05-31 18:14:28.107372,7,K
2015-05-31 18:14:28.327927,+,K
2015-05-31 18:14:28.571521,8,K
2015-05-31 18:14:29.227070,+,K
2015-05-31 18:14:29.459785,9,K
2015-05-31 18:14:29.708601,+,K
2015-05-31 18:14:30.180944,1,K
2015-05-31 18:14:30.621930,0,K
2015-05-31 18:14:30.923023,+,K
2015-05-31 18:14:31.243343,1,K
2015-05-31 18:14:31.439722,1,K
2015-05-31 18:14:31.672278,+,K
2015-05-31 18:14:32.026786,1,K
2015-05-31 18:14:32.228239,2,K
2015-05-31 18:14:32.373344,+,K
2015-05-31 18:14:32.630984,1,K
2015-05-31 18:14:32.849269,3,K
2015-05-31 18:14:33.072141,+,K
2015-05-31 18:14:33.309899,1,K
2015-05-31 18:14:33.561708,4,K
2015-05-31 18:14:33.724663,+,K
2015-05-31 18:14:33.948218,1,K
2015-05-31 18:14:34.239327,5,K
2015-05-31 18:14:34.396442,+,K
2015-05-31 18:14:34.622959,1,K
2015-05-31 18:14:34.967369,6,K
2015-05-31 18:14:35.141561,+,K
2015-05-31 18:14:35.338070,1,K
2015-05-31 18:14:35.683469,7,K
2015-05-31 18:14:35.845658,+,K
2015-05-31 18:14:36.084095,1,K
2015-05-31 18:14:36.457082,8,K
2015-05-31 18:14:36.619986,+,K
2015-05-31 18:14:36.856713,1,K
2015-05-31 18:14:37.258466,9,K
2015-05-31 18:14:37.433780,+,K
2015-05-31 18:14:37.817191,2,K
2015-05-31 18:14:38.171973,0,K
2015-05-31 18:14:38.339177,+,K
