timestamp,eventtext,operator
2015-05-31 15:09:10.114375,1,K
2015-05-31 15:09:10.715094,+,K
2015-05-31 15:09:11.368064,2,K
2015-05-31 15:09:11.720227,+,K
2015-05-31 15:09:12.075687,3,K
2015-05-31 15:09:12.397850,+,K
2015-05-31 15:09:12.998032,4,K
2015-05-31 15:09:13.358629,+,K
2015-05-31 15:09:13.747070,5,K
2015-05-31 15:09:14.058531,+,K
2015-05-31 15:09:14.413982,6,K
2015-05-31 15:09:14.744306,+,K
2015-05-31 15:09:15.109633,7,K
2015-05-31 15:09:15.493592,+,K
2015-05-31 15:09:16.143047,8,K
2015-05-31 15:09:16.551816,+,K
2015-05-31 15:09:17.010279,9,K
2015-05-31 15:09:17.338161,+,K
2015-05-31 15:09:18.016204,1,K
2015-05-31 15:09:18.716195,0,K
2015-05-31 15:09:19.724287,+,K
2015-05-31 15:09:20.684902,1,K
2015-05-31 15:09:20.887860,1,K
2015-05-31 15:09:21.305202,+,K
2015-05-31 15:09:21.748595,1,K
2015-05-31 15:09:21.987129,2,K
2015-05-31 15:09:22.366483,+,K
2015-05-31 15:09:22.744372,1,K
2015-05-31 15:09:23.238840,3,K
2015-05-31 15:09:23.584353,+,K
2015-05-31 15:09:24.157482,1,K
2015-05-31 15:09:24.500920,4,K
2015-05-31 15:09:24.847164,+,K
2015-05-31 15:09:25.586385,1,K
2015-05-31 15:09:25.921639,5,K
2015-05-31 15:09:26.249732,+,K
2015-05-31 15:09:26.728101,1,K
2015-05-31 15:09:27.105068,6,K
2015-05-31 15:09:27.391272,+,K
2015-05-31 15:09:28.158356,1,K
2015-05-31 15:09:28.611549,7,K
2015-05-31 15:09:28.904673,+,K
2015-05-31 15:09:29.384846,1,K
2015-05-31 15:09:30.318513,8,K
2015-05-31 15:09:31.041699,+,K
2015-05-31 15:09:31.430438,1,K
2015-05-31 15:09:31.924760,9,K
2015-05-31 15:09:32.322290,+,K
2015-05-31 15:09:33.156519,2,K
2015-05-31 15:09:33.717539,0,K
2015-05-31 15:09:34.624897,+,K
