timestamp,eventtext,operator
2015-05-31 15:09:59.289500,1,K
2015-05-31 15:09:59.656484,+,K
2015-05-31 15:09:59.967582,2,K
2015-05-31 15:10:00.276304,+,K
2015-05-31 15:10:00.599048,3,K
2015-05-31 15:10:00.983604,+,K
2015-05-31 15:10:01.702513,4,K
2015-05-31 15:10:02.006869,+,K
2015-05-31 15:10:02.371077,5,K
2015-05-31 15:10:02.689715,+,K
2015-05-31 15:10:03.047273,6,K
2015-05-31 15:10:03.395677,+,K
2015-05-31 15:10:03.750311,7,K
2015-05-31 15:10:04.080476,+,K
2015-05-31 15:10:04.449128,8,K
2015-05-31 15:10:04.796601,+,K
2015-05-31 15:10:05.212238,9,K
2015-05-31 15:10:05.716004,+,K
2015-05-31 15:10:06.312120,1,K
2015-05-31 15:10:06.797626,0,K
2015-05-31 15:10:07.338361,+,K
2015-05-31 15:10:07.796314,1,K
2015-05-31 15:10:07.983804,1,K
2015-05-31 15:10:08.325315,+,K
2015-05-31 15:10:08.764162,1,K
2015-05-31 15:10:09.022253,2,K
2015-05-31 15:10:09.375666,+,K
2015-05-31 15:10:09.784506,1,K
2015-05-31 15:10:10.068210,3,K
2015-05-31 15:10:10.369610,+,K
2015-05-31 15:10:10.718955,1,K
2015-05-31 15:10:11.033240,4,K
2015-05-31 15:10:11.333482,+,K
2015-05-31 15:10:11.627176,1,K
2015-05-31 15:10:12.044324,5,K
2015-05-31 15:10:12.317121,+,K
2015-05-31 15:10:12.690963,1,K
2015-05-31 15:10:13.139085,6,K
2015-05-31 15:10:13.502623,+,K
2015-05-31 15:10:13.835931,1,K
2015-05-31 15:10:14.251790,7,K
2015-05-31 15:10:14.603331,+,K
2015-05-31 15:10:14.968972,1,K
2015-05-31 15:10:15.416861,8,K
2015-05-31 15:10:15.731260,+,K
2015-05-31 15:10:16.083699,1,K
2015-05-31 15:10:16.578253,9,K
2015-05-31 15:10:17.027154,+,K
2015-05-31 15:10:17.510671,2,K
2015-05-31 15:10:17.958869,0,K
2015-05-31 15:10:18.365774,+,K
